,년도,시도,시군구,위도,경도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,include,노인보호구역,include2,전통시장
2456,2017,대전광역시,동구,36.346524200000005,127.4235158,대전광역시 동구 삼성동 삼성지하차도 ,4,5,0,1,3,1,0,0,0,0
2457,2017,대전광역시,동구,36.295975399999996,127.46026370000001,대전광역시 동구 대성동 대성동삼거리 ,3,3,1,0,2,0,0,0,0,0
2458,2017,대전광역시,동구,36.3239993,127.43515420000001,대전광역시 동구 인동 한울아파트 ,3,3,0,1,2,0,0,0,1,대전 동구 대전천동로 450
2459,2017,대전광역시,중구,36.3113861,127.4239273,대전광역시 중구 대사동 보문산공원오거리 ,5,5,0,3,2,0,1,대전광역시 중구 보문산공원로497번길 14,0,0
2460,2017,대전광역시,중구,36.335023299999996,127.4123847,대전광역시 중구 중촌동 KEB하나은행중촌동지점 ,3,3,0,3,0,0,1,대전광역시 중구 목동로8번길 54-1,1,대전 중구 동서대로1421번길12
2461,2017,대전광역시,중구,36.2989913,127.4549013,대전광역시 중구 옥계동 키스앤키스헤어중구점 ,3,3,0,2,1,0,1,대전광역시 중구 모암로7번길 170,0,0
2462,2017,대전광역시,서구,36.3163498,127.37832140000002,대전광역시 서구 도마동 다이소대전도마점 ,3,4,1,2,1,0,0,0,1,대전 서구 도마5길 46
2463,2017,대전광역시,서구,36.322276200000005,127.36996599999999,대전광역시 서구 도마동 경남쇼핑센터 ,3,3,1,1,1,0,0,0,0,0
2464,2017,대전광역시,서구,36.3597996,127.3794919,대전광역시 서구 둔산동 선사유적네거리 ,3,3,0,2,1,0,0,0,0,0
2465,2017,대전광역시,유성구,36.3556882,127.33363529999998,대전광역시 유성구 구암동 선산부인과의원 ,4,4,0,3,1,0,1,대전광역시 유성구 유성대로 694번길 23-1,1,대전 유성구 유성대로 730번길 24
2466,2017,대전광역시,대덕구,36.4434106,127.4255805,대전광역시 대덕구 덕암동 백제종합장식 ,3,3,1,2,0,0,1,대전광역시 대덕구 덕암북로 92,0,0
2467,2017,대전광역시,대덕구,36.3672996,127.4316256,대전광역시 대덕구 법동 연합약국 ,3,3,0,2,1,0,0,0,1,대전 대덕구 계족로608번길 23-1
2468,2017,대전광역시,대덕구,36.4371942,127.4256452,대전광역시 대덕구 덕암동 덕암119안전센터 ,2,2,1,1,0,0,1,대전광역시 대덕구 신탄진로 681번길 10,0,0
2469,2018,대전광역시,동구,36.3321094,127.4319043,대전광역시 동구 정동 동해당약국 ,5,5,0,3,2,0,0,0,1,대전 동구 대전로 797번길 41
