년도,시도,위도,경도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
2010,서울특별시 성북구3,37.6036289,127.0201599,서울특별시 성북구 돈암동 길음교 ,3 ,3 ,0 ,3 ,0 ,0 
2010,서울특별시 성북구4,37.6032257,127.0322132,서울특별시 성북구 종암동 종암사거리 ,3 ,3 ,0 ,3 ,0 ,0 
2010,서울특별시 성북구5,37.59272,127.016544,서울특별시 성북구 동선동1가 성신여대입구역 ,3 ,3 ,0 ,3 ,0 ,0 
2010,서울특별시 성북구6,37.6168186,127.0495972,서울특별시 성북구 장위동 개미약국 ,3 ,3 ,1 ,0 ,2 ,0 
2010,서울특별시 성북구7,37.6076463,127.0518885,서울특별시 성북구 상월곡동 광천교회 ,3 ,3 ,1 ,1 ,1 ,0 
2010,서울특별시 성북구8,37.6087532,127.0524333,서울특별시 성북구 장위동 석관우체국 ,4 ,4 ,0 ,2 ,2 ,0 
2010,서울특별시 성북구9,37.58868,127.00616,서울특별시 성북구 동소문동1가 한성대입구역 ,4 ,4 ,0 ,2 ,2 ,0 
2010,서울특별시 성북구10,37.6133352,127.0069932,서울특별시 성북구 정릉동 정릉4동사무소 솔샘로터리 ,4 ,6 ,0 ,3 ,3 ,0 
2010,서울특별시 성북구11,37.6025639,127.0122656,서울특별시 성북구 정릉동 아리랑고개입구 아리랑로터리 ,5 ,5 ,0 ,2 ,2 ,1 
2010,서울특별시 성북구12,37.5866997,127.0166041,서울특별시 성북구 안암동2가 보문3교 안암지구대 ,5 ,5 ,0 ,4 ,1 ,0 
2010,서울특별시 성북구13,37.6030592,127.0403791,서울특별시 성북구 하월곡동 이삭교회 ,6 ,6 ,1 ,4 ,1 ,0 
2010,서울특별시 강북구1,37.6342219,127.0277961,서울특별시 강북구 번동 번동진숙빌라 ,3 ,3 ,0 ,1 ,1 ,1 
2010,서울특별시 강북구2,37.6162797,127.0304075,서울특별시 강북구 미아동 미아4동지구대 ,3 ,3 ,0 ,2 ,1 ,0 
2010,서울특별시 강북구3,37.6151131,127.026769,서울특별시 강북구 미아동 새마을금고 ,3 ,4 ,0 ,2 ,2 ,0 
2010,서울특별시 강북구4,37.620695,127.0127143,서울특별시 강북구 미아동 삼양시장 ,3 ,3 ,0 ,3 ,0 ,0 
2010,서울특별시 강북구5,37.6326386,127.0199913,서울특별시 강북구 수유동 삼우쉐르빌 ,4 ,4 ,0 ,2 ,2 ,0 
2010,서울특별시 강북구6,37.6407764,127.0169081,서울특별시 강북구 수유동 우이초등교앞 ,4 ,4 ,0 ,2 ,2 ,0 
2010,서울특별시 강북구7,37.621341,127.020507,서울특별시 강북구 미아동 삼양사거리 ,4 ,5 ,1 ,3 ,1 ,0 
2010,서울특별시 강북구8,37.6371095,127.0247325,서울특별시 강북구 번동 수유역 ,6 ,6 ,0 ,3 ,3 ,0 
2010,서울특별시 강북구9,37.6302521,127.02423,서울특별시 강북구 미아동 행복이 가득한집 ,6 ,8 ,0 ,4 ,3 ,1 
2010,서울특별시 도봉구1,37.5494685,126.9233146,서울특별시 도봉구 창동 극동방송문화센터 ,3 ,6 ,0 ,1 ,5 ,0 
2010,서울특별시 도봉구2,37.6705276,127.0457066,서울특별시 도봉구 도봉동 도봉중교 ,3 ,3 ,0 ,2 ,1 ,0 
2010,서울특별시 도봉구3,37.6711898,127.0438212,서울특별시 도봉구 방학동 신도봉사거리 ,3 ,4 ,0 ,3 ,1 ,0 
2010,서울특별시 도봉구4,37.6781891,127.0518758,서울특별시 도봉구 도봉동 상록수아파트 ,4 ,5 ,0 ,5 ,0 ,0 
2010,서울특별시 도봉구5,37.6624409,127.0315058,서울특별시 도봉구 방학동 대한윤활유 ,4 ,4 ,1 ,1 ,2 ,0 
2010,서울특별시 노원구1,37.6173767,127.0638659,서울특별시 노원구 상계동 형제카센터 ,3 ,3 ,0 ,2 ,1 ,0 
2010,서울특별시 노원구2,37.6465266,127.0633478,서울특별시 노원구 중계동 당현교 ,3 ,5 ,0 ,4 ,1 ,0 
2010,서울특별시 노원구3,37.6481098,127.0707082,서울특별시 노원구 중계동 노원구민체육센타 ,4 ,4 ,0 ,2 ,2 ,0 
2010,서울특별시 노원구4,37.6673854,127.0802622,서울특별시 노원구 상계동 불암동아아파트 ,4 ,4 ,0 ,3 ,1 ,0 
2010,서울특별시 노원구5,37.6304778,127.0901988,서울특별시 노원구 공릉동 공릉역 ,4 ,4 ,0 ,4 ,0 ,0 
2010,서울특별시 노원구6,37.6734953,127.0547368,서울특별시 노원구 상계동 노일초교 보 ,4 ,4 ,1 ,3 ,0 ,0 
2010,서울특별시 노원구7,37.6579143,127.0760962,서울특별시 노원구 중계동 삿갓봉근린공원 ,5 ,6 ,0 ,4 ,2 ,0 
2010,서울특별시 은평구1,37.598002,126.9121697,서울특별시 은평구 갈현동 신사오거리 ,3 ,4 ,0 ,1 ,3 ,0 
